iata,name,location,country
IAO,Siargao - Sayak Airport,Surigao del Norte,Phillipines
AML,Puerto Armuellas Airport,Puerto Armuellas,Panama
AZG,Pablo L. Sidar Airport,"Apatzingán, Michoacán",Mexico
BKC,Buckland Airport,"Buckland, Alaska",United States
BVE,Brive – Souillac Airport,Brive-la-Gaillarde,France
CGY,Laguindingan International Airport,Cagayan de Oro City,Philippines
CSY,Cheboksary Airport,"Cheboksary, Chuvashia",Russia
DLL,Dillon County Airport,"Dillon, South Carolina",United States
ELO,Eldorado Airport,"Eldorado, Misiones",Argentina
FMA,Formosa International Airport (El Pucú Airport),Formosa,Argentina
GLM,Glenormiston Airport,"Glenormiston, Queensland",Australia
HEI,Heide-Büsum Airport,"Heide, Schleswig-Holstein",Germany
IAR,Yaroslavl Airport,Yaroslavl,Russia
JAI,Jaipur Airport (Sanganer Airport),Jaipur / Sanganer,India
KCG,Chignik Fisheries Airport (closed),"Chignik, Alaska",United States
KOR,Kokoro Airport,Kokoro,Papua New Guinea
LCS,Las Canas Airport,Las Canas,Costa Rica
LRJ,Le Mars Municipal Airport,"Le Mars, Iowa",United States
MEP,Mersing Airport,Johor,Malaysia
MPP,Mulatupo Airport,Mulatupo,Panamá
NBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana",United States
ONA,Winona Municipal Airport (Max Conrad Field),"Winona, Minnesota",United States
PMY,El Tehuelche Airport,Puerto Madryn,Argentina
RCQ,Reconquista Airport,"Reconquista, Santa Fe",Argentina
SFE,San Fernando Airport,"San Fernando City, La UNION",Philippines
SUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa",United States
TPA,Tampa International Airport,"Tampa, Florida",United States
VHN,Culberson County Airport,"Van Horn, Texas",United States
XKL,KL City Air Terminal,Kuala Lumpur,Malaysia
YLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan",Canada
YZT,Port Hardy Airport,"Port Hardy, British Columbia",Canada
ZVE,Union Station,"New Haven, Connecticut",United States
AAA,Anaa Airport,"Anaa, Tuamotus",French Polynesia
AMM,Queen Alia International Airport,Amman,Jordan
AZI,Bateen Airport,Abu Dhabi,United Arab Emirates
BKD,Stephens County Airport,"Breckenridge, Texas",United States
BVF,Dama Airport,Bua,Fiji
CGZ,Casa Grande Municipal Airport,"Casa Grande, Arizona",United States
CSZ,Brigadier Hector Eduardo Ruiz Airport,"Coronel Suárez, Buenos Aires",Argentina
DLM,Dalaman Airport,Mu?la,Turkey
ELP,El Paso International Airport,"El Paso, Texas",United States
FMC,Five Mile Airport,"Five Mile, Alaska",United States
GLN,Goulimime Airport,Goulimime,Morocco
HEK,Heihe Airport,"Heihe, Heilongjiang",China
IAS,Ia?i International Airport,Ia?i,Romania
JAK,Jacmel Airport,Jacmel,Haiti
KCH,Kuching International Airport,"Kuching, Sarawak",Malaysia
KOS,Sihanoukville Airport (Kompong Som),Sihanoukville,Cambodia
LCV,Tassignano Airport,Lucca,Italy
LRL,Niamtougou International Airport,Niamtougou,Togo
MEQ,Seunagan Airport,Meulaboh,Indonesia
MPQ,Ma'an Airport,Ma'an,Jordan
NBK,Suvarnabhumi International Airport,Bangkok,Thailand
ONH,Oneonta Municipal Airport,"Oneonta, New York",United States
PMZ,Palmar Sur Airport,Palmar Sur,Costa Rica
RCR,Fulton County Airport,"Rochester, Indiana",United States
SFF,Felts Field,"Spokane, Washington",United States
SVA,Savoonga Airport,"Savoonga, Alaska",United States
TPE,Taiwan Taoyuan International Airport,"Taoyuan County, Taiwan",China
VHV,Verkhnevilyuysk Airport,"Verkhnevilyuysk, Woehee Bueluue District, Sakha Republic",Russia
XKO,Kemano Airport,"Kemano, British Columbia",Canada
YLL,Lloydminster Airport,"Lloydminster, Alberta/Saskatchewan",Canada
YZU,Whitecourt Airport,"Whitecourt, Alberta",Canada
ZVM,Hannover Messe Bahnhof,,Germany
AAB,Arrabury Airport,"Arrabury, Queensland",Australia
AMN,Gratiot Community Airport,"Alma, Michigan",United States
AZN,Andizhan Airport,Andizhan,Uzbekistan
BKE,Baker City Municipal Airport,"Baker City, Oregon",United States
BVG,Berlevåg Airport,Berlevåg,Norway
CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, Tennessee",United States
CTA,Catania–Fontanarossa Airport,"Catania, Sicily",Italy
DLN,Dillon Airport,"Dillon, Montana",United States
ELQ,Gassim Regional Airport,Buraidah,Saudi Arabia
FME,Tipton Airport (Fort Meade),"Odenton, Maryland",United States
GLO,Gloucester Airport,"Gloucester / Cheltenham, England",United Kingdom
HEL,Helsinki Airport,Helsinki / Vantaa,Finland
IAU,Iaura Airport,Iaura,Papua New Guinea
